"dept","comm","year","week","price"
"AISNE","SOISSONS",1833,17,1529
"AISNE","SOISSONS",1833,18,1533
"AISNE","SOISSONS",1833,19,1482
"AISNE","SOISSONS",1833,20,1420
"AISNE","SOISSONS",1833,21,1391
"AISNE","SOISSONS",1833,22,1403
"AISNE","SOISSONS",1833,23,1424
"AISNE","SOISSONS",1833,24,1390
"AISNE","SOISSONS",1834,1,1413
"AISNE","SOISSONS",1834,2,1421
"AISNE","SOISSONS",1834,3,1417
"AISNE","SOISSONS",1834,4,1369
"AISNE","SOISSONS",1834,5,1309
"AISNE","SOISSONS",1834,6,1321
"AISNE","SOISSONS",1834,7,1351
"AISNE","SOISSONS",1834,8,1383
"AISNE","SOISSONS",1834,9,1356
"AISNE","SOISSONS",1834,10,1337
"AISNE","SOISSONS",1834,11,1373
"AISNE","SOISSONS",1834,12,1402
"AISNE","SOISSONS",1834,13,1412
"AISNE","SOISSONS",1834,14,1444
"AISNE","SOISSONS",1834,15,1470
"AISNE","SOISSONS",1834,16,1442
"AISNE","SOISSONS",1834,17,1408
"AISNE","SOISSONS",1834,18,1418
"AISNE","SOISSONS",1834,19,1417
"AISNE","SOISSONS",1834,20,1361
"AISNE","SOISSONS",1834,21,1509
"AISNE","SOISSONS",1834,22,1555
"AISNE","SOISSONS",1834,23,1557
"AISNE","SOISSONS",1834,24,1609
"AISNE","SOISSONS",1835,1,1656
"AISNE","SOISSONS",1835,2,1626
"AISNE","SOISSONS",1835,3,1597
"AISNE","SOISSONS",1835,4,1638
"AISNE","SOISSONS",1835,5,1624
"AISNE","SOISSONS",1835,6,1617
"AISNE","SOISSONS",1835,7,1606
"AISNE","SOISSONS",1835,8,1531
"AISNE","SOISSONS",1835,9,1521
"AISNE","SOISSONS",1835,10,1455
"AISNE","SOISSONS",1835,11,1398
"AISNE","SOISSONS",1835,12,1400
"AISNE","SOISSONS",1835,13,1391
"AISNE","SOISSONS",1835,14,1385
"AISNE","SOISSONS",1835,15,1311
"AISNE","SOISSONS",1835,16,1297
"AISNE","SOISSONS",1835,17,1273
"AISNE","SOISSONS",1835,18,1368
"AISNE","SOISSONS",1835,19,1302
"AISNE","SOISSONS",1835,20,1297
